 Label, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
nominal,17.0,3370.0,2.0,2.0,512.0,2836.0,256.0,256.0,256.0,0.0,1418.0,1418.0,1418.0,0.0,993471.8101,1186.94362,1123.333333,1938.742204,3362.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,593.4718101,593.4718101,256.0,1418.0,720.8,636.4536118,405073.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,901.0,256.0,1418.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,2.0,2836.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,6.0,1206.0,10.0,7.0,3150.0,3152.0,1575.0,0.0,315.0,632.5616351,1576.0,0.0,450.2857143,769.0092575,5225538.972,14096.18574,75.375,212.3562651,868.0,2.0,1206.0,134.0,296.3258342,921.0,2.0,1113.0,185.5,337.42362099999997,868.0,3.0,0.0,0.0,0.0,0.0,336.0,240.0,8291.873964,5804.311774,0.0,1576.0,350.1111111,657.7416701000001,432624.1046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,370.70588239999995,315.0,450.2857143,336.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3150.0,7.0,3152.0,29200.0,2081.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,158.0,2.0,2.0,102.0,224.0,51.0,51.0,51.0,0.0,112.0,112.0,112.0,0.0,2063291.139,25316.4557,52.66666667,85.16063253,151.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,12658.22785,12658.22785,51.0,112.0,75.4,33.41107601,1116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.25,51.0,112.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,224.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,215.0,2.0,2.0,68.0,190.0,34.0,34.0,34.0,0.0,95.0,95.0,95.0,0.0,1200000.0,18604.651159999998,71.66666667,113.84785169999999,203.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,64.0,64.0,9302.325581000001,9302.325581000001,34.0,95.0,58.4,33.41107601,1116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,34.0,95.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,190.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,209.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,765550.2392,19138.75598,69.66666667,37.527767499999996,113.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,9569.37799,9569.37799,32.0,48.0,38.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,77730.0,1.0,1.0,50.0,114.0,50.0,50.0,50.0,0.0,114.0,114.0,114.0,0.0,2109.8674899999996,25.73009134,77730.0,0.0,77730.0,77730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,12.86504567,12.86504567,50.0,114.0,71.33333333,36.95041723,1365.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.0,50.0,114.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,114.0,-1.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,160.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,1000000.0,25000.0,53.33333333,86.31531343,153.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,12500.0,12500.0,32.0,48.0,38.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,302.0,2.0,2.0,68.0,190.0,34.0,34.0,34.0,0.0,95.0,95.0,95.0,0.0,854304.6358,13245.03311,100.66666670000001,134.7677014,254.0,1.0,1.0,1.0,0.0,1.0,1.0,47.0,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,40.0,40.0,6622.5165560000005,6622.5165560000005,34.0,95.0,58.4,33.41107601,1116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,34.0,95.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,190.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,492.0,2.0,2.0,364.0,358.0,182.0,182.0,182.0,0.0,179.0,179.0,179.0,0.0,1467479.675,8130.081301,164.0,277.9946043,485.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,4065.04065,4065.04065,179.0,182.0,180.8,1.6431676730000002,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,226.0,182.0,179.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,364.0,2.0,358.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,212.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,754716.9811,18867.92453,70.66666667,38.3970485,115.0,48.0,49.0,49.0,0.0,49.0,49.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,9433.962264,9433.962264,32.0,48.0,38.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,209.0,2.0,2.0,80.0,180.0,40.0,40.0,40.0,0.0,90.0,90.0,90.0,0.0,1244019.139,19138.75598,69.66666667,37.527767499999996,113.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,9569.37799,9569.37799,40.0,90.0,60.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,40.0,90.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,2.0,180.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,167.0,2.0,2.0,72.0,136.0,36.0,36.0,36.0,0.0,68.0,68.0,68.0,0.0,1245508.982,23952.09581,55.66666667,90.35670054,160.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,11976.0479,11976.0479,36.0,68.0,48.8,17.52712184,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,36.0,68.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,2.0,136.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,47214.0,2.0,2.0,60.0,264.0,30.0,30.0,30.0,0.0,132.0,132.0,132.0,0.0,6862.371331,84.72063371,15738.0,27252.953439999997,47207.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,42.36031686,42.36031686,30.0,132.0,70.8,55.86770087,3121.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.5,30.0,132.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,2.0,264.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,109482.0,4.0,4.0,200.0,868.0,50.0,50.0,50.0,0.0,217.0,217.0,217.0,0.0,9755.028224,73.07137246,15640.28571,38069.49201,101740.0,3.0,109300.0,36433.33333,63098.32225,109293.0,3.0,7738.0,2579.333333,4461.474233,7731.0,3.0,0.0,0.0,0.0,0.0,80.0,80.0,36.53568623,36.53568623,50.0,217.0,124.2222222,88.01672821,7746.944444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.75,50.0,217.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,200.0,4.0,868.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,897.0,2.0,2.0,94.0,196.0,47.0,47.0,47.0,0.0,98.0,98.0,98.0,0.0,323299.8885,4459.308807,299.0,475.0915701,847.0,3.0,3.0,3.0,0.0,3.0,3.0,47.0,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,40.0,40.0,2229.654404,2229.654404,47.0,98.0,67.4,27.93385043,780.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.25,47.0,98.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.0,2.0,196.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,100055.0,21.0,0.0,588.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,5876.767778,209.88456349999998,5002.75,22346.62033,99943.0,1.0,100055.0,5002.75,22346.62033,99943.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,209.88456349999998,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33333333,28.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,588.0,0.0,0.0,-1.0,-1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,46514.0,1.0,1.0,56.0,188.0,56.0,56.0,56.0,0.0,188.0,188.0,188.0,0.0,5245.732468,42.99780711,46514.0,0.0,46514.0,46514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,21.49890356,21.49890356,56.0,188.0,100.0,76.21023553,5808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,56.0,188.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,1.0,188.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,6.0,23195910.0,21.0,14.0,3688.0,2672.0,920.0,0.0,175.61904760000002,263.6136332,952.0,0.0,190.8571429,324.95937189999995,274.18626820000003,1.508886696,682232.6471,3912755.238,22800000.0,0.0,23200000.0,1159795.5,5099747.875,22800000.0,1.0,316954.0,24381.07692,87498.08297999999,315592.0,0.0,0.0,0.0,0.0,0.0,444.0,304.0,0.905332018,0.603554678,0.0,952.0,176.66666669999998,282.67487630000005,79905.08571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,181.71428569999998,175.61904760000002,190.8571429,444.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3688.0,14.0,2672.0,8192.0,2053.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,24188.0,2.0,2.0,68.0,100.0,34.0,34.0,34.0,0.0,50.0,50.0,50.0,0.0,6945.592856,165.3712585,8062.666667,13959.75216,24182.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,82.68562924,82.68562924,34.0,50.0,40.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.5,34.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,100.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,6.0,559.0,7.0,4.0,486.0,444.0,234.0,0.0,69.42857143,112.45570559999999,222.0,0.0,111.0,128.1717598,1663685.1519999998,19677.99642,55.9,113.75944409999998,370.0,1.0,559.0,93.16666667,172.1039415,440.0,1.0,425.0,141.66666669999998,241.91182969999997,421.0,1.0,0.0,0.0,0.0,0.0,164.0,104.0,12522.361359999999,7155.635063,0.0,234.0,77.5,111.2380739,12373.909090000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.54545455,69.42857143,111.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,486.0,4.0,444.0,8192.0,2053.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,171152.0,1.0,1.0,45.0,151.0,45.0,45.0,45.0,0.0,151.0,151.0,151.0,0.0,1145.180892,11.685519300000001,171152.0,0.0,171152.0,171152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,5.842759652000001,5.842759652000001,45.0,151.0,80.33333333,61.19912853,3745.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.5,45.0,151.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,1.0,151.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,139.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,1151079.137,28776.97842,46.33333333,74.19119445,132.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,14388.48921,14388.48921,32.0,48.0,38.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,6.0,56.0,1.0,4.0,6.0,24.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,535714.2857,89285.71429,14.0,22.18107301,47.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,16.33333333,26.55811238,47.0,1.0,0.0,0.0,0.0,0.0,20.0,80.0,17857.14286,71428.57143,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.2,6.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,24.0,255.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,17.0,141.0,2.0,2.0,414.0,326.0,207.0,207.0,207.0,0.0,163.0,163.0,163.0,0.0,5248226.95,28368.79433,47.0,77.94228634,137.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,40.0,40.0,14184.397159999999,14184.397159999999,163.0,207.0,189.4,24.09979253,580.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,236.75,207.0,163.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,414.0,2.0,326.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
